project_id,heritage_item,project_name_en,category,search_keyword,source_platform,region_code,search_order,api_key_index,api_key_attempts,search_calls_including_failed_attempts,search_quota_cost_including_failed_attempts,max_pages_requested,pages_fetched,search_calls,search_quota_cost,collected_count,unique_video_count,totalResults_estimate,nextPageToken_present_at_stop,stop_reason,error_message,started_or_recorded_at
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",节庆民俗,Chinese New Year,youtube,US,relevance,2,"[1, 2]",10,1000,10,10,10,1000,394,394,1000000,True,ceiling_capped_500,,2026-06-16T14:57:28.781683+00:00
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,手工艺/民俗,Chinese tea ceremony,youtube,US,relevance,3,"[2, 3]",13,1300,10,5,5,500,175,175,418024,False,exhausted,,2026-06-16T14:57:37.248899+00:00
3,太极拳,Taijiquan,传统体育/养生,Tai Chi,youtube,US,relevance,3,[3],10,1000,10,10,10,1000,454,454,1000000,True,ceiling_capped_500,,2026-06-16T14:57:44.799317+00:00
3,太极拳,Taijiquan,传统体育/养生,Taijiquan,youtube,US,relevance,3,"[1, 2, 3]",10,1000,10,10,10,1000,400,400,886849,True,ceiling_capped_500,,2026-06-16T14:57:51.408092+00:00
13,中国木活字印刷术,Wooden movable-type printing of China,传统手工艺,Chinese wooden movable type,youtube,US,relevance,3,"[2, 3]",10,1000,10,10,10,1000,472,472,1000000,True,ceiling_capped_500,,2026-06-16T14:57:58.457691+00:00
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,传统手工艺,Chinese silk sericulture,youtube,US,relevance,2,"[3, 1, 2]",3,300,10,0,0,0,0,0,,False,failed,HTTP 429 RESOURCE_EXHAUSTED reason=rateLimitExceeded message=Quota exceeded for quota metric 'Search Queries' and limit 'Search Queries per day' of service 'youtube.googleapis.com' for consumer 'project_number:604679918733'.,2026-06-16T14:58:00.371942+00:00
25,粤剧,Yueju opera (Cantonese opera),表演艺术(戏曲),Cantonese opera,youtube,US,relevance,3,"[1, 2, 3]",1,100,10,1,1,100,50,50,654281,True,failed,HTTP 429 RESOURCE_EXHAUSTED reason=rateLimitExceeded message=Quota exceeded for quota metric 'Search Queries' and limit 'Search Queries per day' of service 'youtube.googleapis.com' for consumer 'project_number:547327796150'.,2026-06-16T14:58:01.136049+00:00
34,中国书法,Chinese calligraphy,传统手工艺/视觉艺术,Chinese calligraphy,youtube,US,relevance,1,"[2, 3, 1]",10,1000,10,0,0,0,0,0,,False,failed,HTTP 429 RESOURCE_EXHAUSTED reason=rateLimitExceeded message=Quota exceeded for quota metric 'Search Queries' and limit 'Search Queries per day' of service 'youtube.googleapis.com' for consumer 'project_number:6576366232'.,2026-06-16T14:58:08.159091+00:00
35,中国篆刻,Art of Chinese seal engraving,传统手工艺,Chinese seal engraving,youtube,US,relevance,2,"[3, 1, 2]",4,400,10,1,1,100,50,50,65155,True,failed,HTTP 429 RESOURCE_EXHAUSTED reason=rateLimitExceeded message=Quota exceeded for quota metric 'Search Queries' and limit 'Search Queries per day' of service 'youtube.googleapis.com' for consumer 'project_number:604679918733'.,2026-06-16T14:58:10.685626+00:00
35,中国篆刻,Art of Chinese seal engraving,传统手工艺,seal engraving,youtube,US,relevance,3,"[1, 2, 3]",0,0,10,0,0,0,0,0,,False,failed,HTTP 429 RESOURCE_EXHAUSTED reason=rateLimitExceeded message=Quota exceeded for quota metric 'Search Queries' and limit 'Search Queries per day' of service 'youtube.googleapis.com' for consumer 'project_number:547327796150'.,2026-06-16T14:58:10.947569+00:00
39,妈祖信俗,Mazu belief and customs,民俗信仰,Mazu,youtube,US,relevance,1,"[2, 3, 1]",5,500,10,0,0,0,0,0,,False,failed,HTTP 429 RESOURCE_EXHAUSTED reason=rateLimitExceeded message=Quota exceeded for quota metric 'Search Queries' and limit 'Search Queries per day' of service 'youtube.googleapis.com' for consumer 'project_number:6576366232'.,2026-06-16T14:58:14.194205+00:00
42,古琴艺术,Guqin and its music,表演艺术(音乐),Guqin,youtube,US,relevance,2,"[3, 1, 2]",0,0,10,0,0,0,0,0,,False,failed,HTTP 429 RESOURCE_EXHAUSTED reason=rateLimitExceeded message=Quota exceeded for quota metric 'Search Queries' and limit 'Search Queries per day' of service 'youtube.googleapis.com' for consumer 'project_number:604679918733'.,2026-06-16T14:58:14.528913+00:00
42,古琴艺术,Guqin and its music,表演艺术(音乐),Chinese Guqin,youtube,US,relevance,3,"[1, 2, 3]",3,300,10,2,2,200,93,93,503213,True,failed,HTTP 429 RESOURCE_EXHAUSTED reason=rateLimitExceeded message=Quota exceeded for quota metric 'Search Queries' and limit 'Search Queries per day' of service 'youtube.googleapis.com' for consumer 'project_number:547327796150'.,2026-06-16T14:58:16.597352+00:00
