project_id,project_name,list_type,category,unique_videos,likely_relevant,needs_review,low_relevance,likely_ratio,needs_review_ratio,low_relevance_ratio,avg_quality_score,negative_hit_videos,negative_hit_ratio,weak_generic_source_videos,weak_generic_source_ratio,three_page_lower_bound_videos,three_page_lower_bound_ratio,collection_state_counts,total_play_likely,total_play_needs_review,total_play_low_relevance,max_play_likely,max_play_needs_review,max_play_low_relevance,top_quality_reasons,top_negative_terms
1,春节,RL,节庆民俗,394,348,36,10,0.8832,0.0914,0.0254,6.246,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 394}",753005961,106333392,29530998,117375217,24509528,7632041,"{""china_context"": 392, ""cjk_text"": 62, ""core_term_hits:1"": 172, ""core_term_hits:2"": 114, ""project_term_hits:1"": 172, ""project_term_hits:2"": 114, ""project_term_hits:3"": 55, ""source_hit"": 341}",{}
2,中国传统制茶技艺及其相关习俗,RL,手工艺/民俗,175,130,39,6,0.7429,0.2229,0.0343,6.017,6,0.0343,0,0.0,0,0.0,"{""exhausted"": 175}",29484123,9291947,1678119,22590642,5017023,1430684,"{""china_context"": 172, ""core_term_hits:1"": 115, ""core_term_hits:2"": 22, ""project_term_hits:1"": 20, ""project_term_hits:2"": 23, ""project_term_hits:3"": 105, ""project_term_hits:4"": 22, ""source_hit"": 121}","{""matchalatte"": 1, ""teapet"": 4, ""teashop"": 2}"
3,太极拳,RL,传统体育/养生,817,768,41,8,0.94,0.0502,0.0098,5.559,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 817}",375977929,16273250,677333,29449675,4972360,396335,"{""china_context"": 690, ""cjk_text"": 101, ""core_term_hits:1"": 522, ""core_term_hits:2"": 251, ""project_term_hits:1"": 522, ""project_term_hits:2"": 251, ""project_term_hits:4"": 22, ""source_hit"": 757}",{}
13,中国木活字印刷术,USL,传统手工艺,472,196,141,135,0.4153,0.2987,0.286,3.129,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 472}",66936888,488769964,2674818196,51231800,148587870,603512600,"{""china_context"": 378, ""cjk_text"": 56, ""core_term_hits:1"": 124, ""core_term_hits:2"": 176, ""core_term_hits:3"": 11, ""project_term_hits:1"": 124, ""project_term_hits:2"": 176, ""project_term_hits:3"": 11}",{}
21,中国蚕桑丝织技艺,RL,传统手工艺,264,153,89,22,0.5795,0.3371,0.0833,3.89,75,0.2841,0,0.0,0,0.0,"{""exhausted"": 264}",241296974,71008349,15730163,128533351,33869734,7731973,"{""china_context"": 235, ""core_term_hits:1"": 107, ""core_term_hits:2"": 70, ""negative_term_hits:1"": 63, ""project_term_hits:1"": 49, ""project_term_hits:2"": 90, ""project_term_hits:3"": 71, ""project_term_hits:4"": 34}","{""factory"": 59, ""industrial"": 21, ""satin"": 5, ""silkdress"": 1, ""silkscarf"": 3}"
25,粤剧,RL,表演艺术(戏曲),441,420,7,14,0.9524,0.0159,0.0317,5.696,7,0.0159,0,0.0,0,0.0,"{""ceiling_capped_500"": 441}",24638281,1666522,8870210,4953372,1572107,4507896,"{""china_context"": 429, ""cjk_text"": 274, ""core_term_hits:1"": 355, ""core_term_hits:2"": 65, ""negative_term_hits:1"": 5, ""project_term_hits:1"": 355, ""project_term_hits:2"": 65, ""source_hit"": 422}","{""yueju"": 4, ""yueopera"": 2, ""越剧"": 3}"
34,中国书法,RL,传统手工艺/视觉艺术,451,413,12,26,0.9157,0.0266,0.0576,7.157,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 451}",50451296,24065264,14774828,5412199,17871511,3072052,"{""china_context"": 448, ""cjk_text"": 210, ""core_term_hits:2"": 298, ""core_term_hits:3"": 106, ""project_term_hits:1"": 12, ""project_term_hits:2"": 298, ""project_term_hits:3"": 106, ""source_hit"": 400}",{}
35,中国篆刻,RL,传统手工艺,527,461,34,32,0.8748,0.0645,0.0607,8.18,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 416, ""exhausted"": 111}",39614347,1029396,5067388,14664330,489472,4187008,"{""china_context"": 488, ""cjk_text"": 400, ""core_term_hits:1"": 55, ""core_term_hits:6"": 331, ""project_term_hits:1"": 55, ""project_term_hits:3"": 35, ""project_term_hits:6"": 331, ""source_hit"": 440}",{}
39,妈祖信俗,RL,民俗信仰,229,188,6,35,0.821,0.0262,0.1528,4.9,0,0.0,0,0.0,0,0.0,"{""exhausted"": 229}",15271814,2860930,715673,2977643,2818224,315424,"{""china_context"": 156, ""cjk_text"": 103, ""core_term_hits:1"": 133, ""core_term_hits:2"": 52, ""project_term_hits:1"": 133, ""project_term_hits:2"": 52, ""project_term_hits:3"": 3, ""source_hit"": 187}",{}
42,古琴艺术,RL,表演艺术(音乐),762,706,42,14,0.9265,0.0551,0.0184,6.74,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 762}",175390571,134587657,35356697,25431533,28705137,18205955,"{""china_context"": 709, ""cjk_text"": 438, ""core_term_hits:1"": 256, ""core_term_hits:2"": 265, ""project_term_hits:1"": 256, ""project_term_hits:2"": 265, ""project_term_hits:3"": 210, ""source_hit"": 688}",{}
